Название фильма,Год выпуска,Продолжительность,Возрастное ограничение
1. Побег из Шоушенка,1994,2h 22m,16+
2. Крестный отец,1972,2h 55m,16+
3. Тёмный рыцарь,2008,2h 32m,14+
4. Крестный отец 2,1974,3h 22m,16+
5. 12 разгневанных мужчин,1957,1h 36m,16+
6. Властелин колец: Возвращение короля,2003,3h 21m,12+
7. Список Шиндлера,1993,3h 15m,16+
8. Властелин колец: Братство кольца,2001,2h 58m,12+
9. Криминальное чтиво,1994,2h 34m,18+
"10. Хороший, плохой, злой",1966,2h 41m,12+
11. Форрест Гамп,1994,2h 22m,0+
12. Властелин колец: Две крепости,2002,2h 59m,12+
13. Бойцовский клуб,1999,2h 19m,18+
14. Начало,2010,2h 28m,12+
15. Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,2h 4m,12+
16. Матрица,1999,2h 16m,16+
17. Славные парни,1990,2h 25m,16+
18. Интерстеллар,2014,2h 49m,12+
19. Пролетая над гнездом кукушки,1975,2h 13m,16+
20. Семь,1995,2h 7m,18+
21. Эта замечательная жизнь,1946,2h 10m,PG
22. Молчание ягнят,1991,1h 58m,18+
23. Семь самураев,1954,3h 27m,Not Rated
24. Спасти рядового Райана,1998,2h 49m,18+
25. Зелёная миля,1999,3h 9m,14+
26. Город Бога,2002,2h 10m,16+
27. Жизнь прекрасна,1997,1h 56m,0+
28. Терминатор 2: Судный день,1991,2h 17m,16+
29. Звёздные войны,1977,2h 1m,0+
30. Назад в будущее,1985,1h 56m,12+
31. Унесённые призраками,2001,2h 4m,12+
32. Пианист,2002,2h 30m,16+
33. Гладиатор,2000,2h 35m,18+
34. Паразиты,2019,2h 12m,18+
35. Психо,1960,1h 49m,16+
36. Король лев,1994,1h 28m,0+
37. Могила светлячков,1988,1h 28m,12+
38. Отступники,2006,2h 31m,18+
39. Одержимость,2014,1h 46m,16+
40. Харакири,1962,2h 13m,Not Rated
41. Престиж,2006,2h 10m,12+
42. Американская история Икс,1998,1h 59m,16+
43. Леон,1994,1h 50m,16+
44. Человек-паук: Паутина вселенных,2023,2h 20m,6+
45. Касабланка,1942,1h 42m,6+
46. Новый кинотеатр «Парадизо»,1988,2h 54m,16+
47. 1+1,2011,1h 52m,14+
48. Подозрительные лица,1995,1h 46m,16+
49. Чужой,1979,1h 57m,18+
50. Новые времена,1936,1h 27m,0+
51. Окно во двор,1954,1h 52m,12+
52. Джанго освобождённый,2012,2h 45m,18+
53. Однажды на Диком Западе,1968,2h 46m,PG-13
54. Огни большого города,1931,1h 27m,G
55. Апокалипсис сегодня,1979,2h 27m,18+
56. ВАЛЛ·И,2008,1h 38m,0+
57. Помни,2000,1h 53m,18+
58. Дюна: Часть вторая,2024,2h 46m,16+
59. Индиана Джонс: В поисках утраченного ковчега,1981,1h 55m,0+
60. Мстители: Война бесконечности,2018,2h 29m,16+
61. Жизнь других,2006,2h 17m,16+
62. Сансет бульвар,1950,1h 50m,Approved
63. Человек-паук: Через Вселенные,2018,1h 57m,6+
64. Свидетель обвинения,1957,1h 56m,Approved
65. Тропы славы,1957,1h 28m,Approved
66. Сияние,1980,2h 26m,18+
67. Великий диктатор,1940,2h 5m,0+
68. Бесславные ублюдки,2009,2h 33m,18+
69. Чужие,1986,2h 17m,16+
